user_id,transaction_amount,transaction_type,transaction_hour,day_of_week,amount_vs_user_avg,daily_transaction_count,daily_transaction_amount,identical_amount_count_24h,user_avg_transaction_amount,user_transaction_std,user_avg_daily_transactions,user_avg_transaction_hour,behavior_deviation_score,is_new_beneficiary,beneficiary_age_days,beneficiary_transaction_count_24h,beneficiary_unique_senders_24h,beneficiary_risk_score,is_new_device,device_account_count,device_fraud_history,device_change_recent,location_risk_score,distance_from_last_txn_km,is_new_location,impossible_travel_flag,transactions_last_1_min,transactions_last_5_min,transactions_last_1_hour,amount_last_5_min,amount_last_1_hour,beneficiaries_last_1_hour,amount_z_score,amount_percentile,moving_average_deviation,is_fraud
CUST_472A8910,1029506.35,Merchant,13,Thursday,5.585166518951066,1.0,1029506.35,,184327.6760576923,423084.4824399534,,,,,,,,13.229137506350769,,,,,,,,,,,,,,,1.9976593541510006,,1.173117937100502,0
CUST_49018070,20231.84,Merchant,12,Monday,0.1532803199491479,2.0,136631.32,,131991.41759615386,180074.19371506132,,,,,,,,60.84928306518973,,,,,,,,,,,,,,,-0.6206307260939097,,-0.7212668478093658,0
CUST_752A8A89,120269.73,Merchant,16,Sunday,0.645519416518971,1.0,120269.73,,186313.65905172413,422019.9748793072,,,,,,,,44.02304319088622,,,,,,,,,,,,,,,-0.15649479404526273,,-0.16227919413516803,0
CUST_36EDB6ED,291417.06,Merchant,10,Friday,2.725471149390644,1.0,291417.06,,106922.5534065934,134545.37245614716,,,,,,,,12.12742850733713,,,,,,,,,,,,,,,1.371243791038146,,0.518843541986316,0
CUST_33A77640,69631.04,Merchant,17,Friday,1.762176857610834,1.0,215985.4,,122566.3796969697,162882.70208151656,,,,,,,,54.24364342999423,,,,,,,,,,,,,,,-0.32499055467828375,,-0.6776091457610294,1
CUST_95600F4D,79747.82,Recharge,16,Sunday,0.4453615886267122,1.0,79747.82,,179062.085,423152.5810027451,,,,,,,,49.039460217970586,,,,,,,,,,,,,,,-0.23470083714166384,,-0.13281375815226032,0
CUST_5CC480B3,6652.2,P2P,16,Monday,0.0448948410572404,1.0,6652.2,,148171.92685185187,262796.79764853336,,,,,,,,29.454089383694992,,,,,,,,,,,,,,,-0.5385138940738597,,-0.9528838421279269,0
CUST_CBBD81D2,161181.88,Merchant,17,Saturday,1.1550774904638943,1.0,161181.88,,139541.04919642856,244167.16127826672,,,,,,,,12.12742850733713,,,,,,,,,,,,,,,0.08863120941521013,,0.0,0
CUST_C5EDDAE0,294496.25,Recharge,15,Monday,1.9492323730800571,1.0,294496.25,,151082.1925773196,288451.86111540446,,,,,,,,49.039460217970586,,,,,,,,,,,,,,,0.49718541204108574,,-0.24447630700469877,0
CUST_689C6C70,108304.51,Merchant,10,Sunday,0.6302553570666961,1.0,108304.51,,171841.26803571428,397020.2827932718,,,,,,,,44.02304319088622,,,,,,,,,,,,,,,-0.16003403551248244,,-0.3034608037042424,0
CUST_B6CBCC55,227645.64,Merchant,3,Thursday,1.420528865039713,1.0,227645.64,,160253.1459047619,281767.8268291812,,,,,,,,44.02304319088622,,,,,,,,,,,,,,,0.23917739244265843,,0.774862139164188,0
CUST_1DD953B6,146749.1,Merchant,19,Thursday,0.8815617716641488,1.0,146749.1,,166463.9088888889,294479.5363256532,,,,,,,,23.12907258252427,,,,,,,,,,,,,,,-0.06694797585896449,,0.8025246259395461,0
CUST_7829E339,184374.22,Merchant,17,Monday,0.6546324612016687,1.0,133057.97,,203254.9915463917,497142.8408779817,,,,,,,,60.84928306518973,,,,,,,,,,,,,,,-0.03797856469791907,,-0.15954981005962318,1
CUST_BC3CAFE6,424917.31,Merchant,22,Sunday,1.559447501191003,1.0,227520.23,,145896.97336956524,277281.6997231457,,,,,,,,13.229137506350769,,,,,,,,,,,,,,,1.0062702908595302,,2.086028488248006,1
CUST_300963DE,117046.81,Merchant,11,Wednesday,0.9344644853445224,1.0,117046.81,,125254.49321100918,171266.1066838297,,,,,,,,44.02304319088622,,,,,,,,,,,,,,,-0.04792356975896689,,0.0,0
CUST_CFED87D0,429284.0,Merchant,9,Saturday,0.224415964551736,1.0,52976.43,,236062.55325842692,441924.0329779689,,,,,,,,54.24364342999423,,,,,,,,,,,,,,,0.4372277412466628,,0.6230999274664872,1
CUST_4372D4D9,120079.23,Merchant,16,Monday,0.6149646154957553,2.0,395553.45,,195261.01504,335069.99759079167,,,,,,,,36.95883220072287,,,,,,,,,,,,,,,-0.2243763559273268,,-0.23235534208267358,0
CUST_B9CAF722,265789.06,Recharge,10,Wednesday,1.9084301982182077,2.0,323451.5,,139270.0408,196130.6016683736,,,,,,,,49.039460217970586,,,,,,,,,,,,,,,0.6450753636799832,,1.1703300271625303,0
CUST_03AAED6F,30125.53,Recharge,11,Tuesday,0.2486364143367513,1.0,30125.53,,121161.98443396228,168290.98363798886,,,,,,,,49.039460217970586,,,,,,,,,,,,,,,-0.5409467130443008,,0.0,0
