Feature,Importance
moving_average_deviation,0.3270958730334481
amount_vs_user_avg,0.20057848852595853
transaction_amount,0.15321145870167316
daily_transaction_amount,0.14447273098867483
amount_z_score,0.10937310258495399
user_avg_transaction_amount,0.015189661103662887
user_transaction_std,0.014537934132324295
transaction_hour,0.008894185209081598
daily_transaction_count,0.008679619443331487
beneficiary_risk_score,0.00612476456048088
day_of_week_Sunday,0.0014901477162854852
transaction_type_Bill Payment,0.0012177742105611018
day_of_week_Saturday,0.0011397067879607265
day_of_week_Tuesday,0.001134058298758886
day_of_week_Monday,0.0011027568538709614
transaction_type_Merchant,0.001100939127215587
transaction_type_P2P,0.0010737420221463808
day_of_week_Wednesday,0.0010114482199923606
transaction_type_Recharge,0.0009144937140222748
day_of_week_Thursday,0.0008542387484867883
day_of_week_Friday,0.0008028760171095322
is_new_beneficiary,0.0
user_avg_transaction_hour,0.0
user_avg_daily_transactions,0.0
identical_amount_count_24h,0.0
behavior_deviation_score,0.0
beneficiary_transaction_count_24h,0.0
beneficiary_age_days,0.0
amount_last_5_min,0.0
transactions_last_1_hour,0.0
transactions_last_5_min,0.0
transactions_last_1_min,0.0
impossible_travel_flag,0.0
is_new_location,0.0
distance_from_last_txn_km,0.0
location_risk_score,0.0
device_change_recent,0.0
device_fraud_history,0.0
device_account_count,0.0
is_new_device,0.0
beneficiary_unique_senders_24h,0.0
beneficiaries_last_1_hour,0.0
amount_percentile,0.0
amount_last_1_hour,0.0
